file,cell_type_gt,seed42_pred,seed42_conf,seed42_held_out,seed789_pred,seed789_conf,seed789_held_out,n_seeds_disagree,n_honest_disagree,suspect_score,classification,source
neuromorpho__06050180003.swc,interneuron,pyramidal,0.7918,True,interneuron,0.546,False,1,1,4,OK,neuromorpho
neuromorpho__10507c1.swc,pyramidal,interneuron,0.7373,True,pyramidal,0.5298,False,1,1,4,OK,neuromorpho
neuromorpho__11713c2.swc,pyramidal,pyramidal,0.8809,False,interneuron,0.7367,True,1,1,4,OK,neuromorpho
neuromorpho__2-ENU2-veichle-neuron1_2.swc,pyramidal,interneuron,0.6776,True,pyramidal,0.8909,False,1,1,4,OK,neuromorpho
neuromorpho__20171005C01.swc,pyramidal,interneuron,0.7058,True,pyramidal,0.5198,False,1,1,4,OK,neuromorpho
neuromorpho__20180207A01.swc,pyramidal,interneuron,0.7794,True,pyramidal,0.5829,False,1,1,4,OK,neuromorpho
neuromorpho__20190513_sample_5.swc,interneuron,pyramidal,0.679,True,interneuron,0.9456,False,1,1,4,OK,neuromorpho
neuromorpho__20190718_sample_5.swc,interneuron,pyramidal,0.7146,True,interneuron,0.7847,False,1,1,4,OK,neuromorpho
neuromorpho__20191114_sample_4.swc,interneuron,pyramidal,0.6713,True,interneuron,0.7491,False,1,1,4,OK,neuromorpho
neuromorpho__2020-03-05_10-54-18SST-MORF3Mb02-1V5-647-30x03-1_05.swc,interneuron,interneuron,0.7547,False,pyramidal,0.7725,True,1,1,4,OK,neuromorpho
neuromorpho__241-1-26LU.swc,interneuron,interneuron,0.5967,False,pyramidal,0.8368,True,1,1,4,OK,neuromorpho
neuromorpho__5_J3a.swc,interneuron,interneuron,0.9938,False,pyramidal,0.8035,True,1,1,4,OK,neuromorpho
neuromorpho__60R5_01_-480.swc,interneuron,pyramidal,0.7657,True,interneuron,0.9131,False,1,1,4,OK,neuromorpho
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt21a.swc,interneuron,pyramidal,0.8427,True,interneuron,0.8752,False,1,1,4,OK,neuromorpho
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt26a.swc,interneuron,pyramidal,0.7551,True,interneuron,0.9025,False,1,1,4,OK,neuromorpho
neuromorpho__70R3_04_-345.swc,interneuron,pyramidal,0.7349,True,interneuron,0.8121,False,1,1,4,OK,neuromorpho
neuromorpho__8N22DAT8-50717GFPwta-wt7a.swc,interneuron,interneuron,0.9365,False,pyramidal,0.7243,True,1,1,4,OK,neuromorpho
neuromorpho__AAS15.swc,interneuron,interneuron,0.5855,False,pyramidal,0.6821,True,1,1,4,OK,neuromorpho
neuromorpho__Anstoetz_O-LM_IN1.swc,interneuron,interneuron,0.7746,False,pyramidal,0.6974,True,1,1,4,OK,neuromorpho
neuromorpho__B110430PYR.swc,pyramidal,pyramidal,0.7198,False,interneuron,0.7269,True,1,1,4,OK,neuromorpho
neuromorpho__Cell-5-1.swc,interneuron,pyramidal,0.7401,True,interneuron,0.5067,False,1,1,4,OK,neuromorpho
neuromorpho__Cell5_Hippocampus_singlecell.swc,interneuron,pyramidal,0.7672,True,interneuron,0.5818,False,1,1,4,OK,neuromorpho
neuromorpho__Cell6_Hippocampus_singlecell.swc,interneuron,pyramidal,0.7305,True,interneuron,0.8733,False,1,1,4,OK,neuromorpho
neuromorpho__Cell8_Subiculum_singlecell.swc,interneuron,interneuron,0.5795,False,pyramidal,0.8007,True,1,1,4,OK,neuromorpho
neuromorpho__Fig4E387co2_NL_50mu.swc,interneuron,interneuron,0.7078,False,pyramidal,0.7843,True,1,1,4,OK,neuromorpho
neuromorpho__Htr3a-Cre_NO152_Ai14-286731-04-02-01_645075254_m.swc,interneuron,interneuron,0.8271,False,pyramidal,0.7152,True,1,1,4,OK,neuromorpho
neuromorpho__Jul26-IR2-2H.swc,pyramidal,interneuron,0.7354,True,pyramidal,0.6851,False,1,1,4,OK,neuromorpho
neuromorpho__KO1-4-3-9.swc,pyramidal,pyramidal,0.7107,False,interneuron,0.7526,True,1,1,4,OK,neuromorpho
neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell.swc,pyramidal,pyramidal,0.553,False,interneuron,0.7753,True,1,1,4,OK,neuromorpho
neuromorpho__Mouse_CA2_Ma_Cell_9_Mc_Cell_4-2.swc,pyramidal,interneuron,0.7117,True,pyramidal,0.7226,False,1,1,4,OK,neuromorpho
neuromorpho__Oi27rpy1-1.swc,pyramidal,interneuron,0.7772,True,pyramidal,0.8482,False,1,1,4,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN04.swc,interneuron,interneuron,0.796,False,pyramidal,0.7971,True,1,1,4,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN08.swc,interneuron,pyramidal,0.6873,True,interneuron,0.7881,False,1,1,4,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN11.swc,interneuron,interneuron,0.8407,False,pyramidal,0.6548,True,1,1,4,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN35.swc,interneuron,pyramidal,0.7051,True,interneuron,0.7806,False,1,1,4,OK,neuromorpho
neuromorpho__WT3-neuron3.swc,pyramidal,pyramidal,0.6115,False,interneuron,0.652,True,1,1,4,OK,neuromorpho
neuromorpho__WT3-neuron8.swc,pyramidal,interneuron,0.6525,True,pyramidal,0.5315,False,1,1,4,OK,neuromorpho
neuromorpho__august8s1-cell-3.swc,pyramidal,interneuron,0.6678,True,pyramidal,0.5587,False,1,1,4,OK,neuromorpho
neuromorpho__oi57rpy1-1.swc,pyramidal,interneuron,0.8449,True,pyramidal,0.6843,False,1,1,4,OK,neuromorpho
neuromorpho__p120107-07-AAC.swc,interneuron,interneuron,0.8947,False,pyramidal,0.7955,True,1,1,4,OK,neuromorpho
neuromorpho__p120116-03-AAC.swc,interneuron,pyramidal,0.7692,True,interneuron,0.7463,False,1,1,4,OK,neuromorpho
allen__H16.03.006.01.09.02_537266147.swc,pyramidal,pyramidal,0.7307,False,interneuron,0.7798,False,1,0,3,OK,allen
neuromorpho__14--OTC-1-nM-NPY-11-weeks.swc,pyramidal,pyramidal,0.6152,False,interneuron,0.8272,False,1,0,3,OK,neuromorpho
neuromorpho__14--P14-Acute-20x.swc,pyramidal,pyramidal,0.6782,False,interneuron,0.6802,False,1,0,3,OK,neuromorpho
neuromorpho__17--OTC-10-nM-NPY-11-weeks.swc,pyramidal,pyramidal,0.72,False,interneuron,0.6733,False,1,0,3,OK,neuromorpho
neuromorpho__21a_2.swc,pyramidal,pyramidal,0.6529,False,interneuron,0.6602,False,1,0,3,OK,neuromorpho
neuromorpho__21d.swc,pyramidal,pyramidal,0.8205,False,interneuron,0.7441,False,1,0,3,OK,neuromorpho
neuromorpho__236-3-45LS.swc,interneuron,pyramidal,0.8164,False,interneuron,0.5393,False,1,0,3,OK,neuromorpho
neuromorpho__389-01-06.swc,pyramidal,interneuron,0.7099,False,pyramidal,0.613,False,1,0,3,OK,neuromorpho
neuromorpho__3a_2.swc,pyramidal,pyramidal,0.6735,False,interneuron,0.6711,False,1,0,3,OK,neuromorpho
neuromorpho__5--OTC-CRF-NPY-9-week.swc,pyramidal,pyramidal,0.5673,False,interneuron,0.7389,False,1,0,3,OK,neuromorpho
neuromorpho__60L4_03_-135.swc,interneuron,interneuron,0.7958,False,pyramidal,0.7061,False,1,0,3,OK,neuromorpho
neuromorpho__60R5_05_-495.swc,interneuron,pyramidal,0.7649,False,interneuron,0.8288,False,1,0,3,OK,neuromorpho
neuromorpho__Anstoetz_SO_IN1.swc,interneuron,interneuron,0.6512,False,pyramidal,0.7356,False,1,0,3,OK,neuromorpho
neuromorpho__Cell-4-MOUSE.swc,interneuron,interneuron,0.5676,False,pyramidal,0.7967,False,1,0,3,OK,neuromorpho
neuromorpho__Fig1_2.swc,pyramidal,pyramidal,0.5692,False,interneuron,0.7508,False,1,0,3,OK,neuromorpho
neuromorpho__Gunnersen_B3b1slice2LHS.swc,pyramidal,pyramidal,0.5905,True,interneuron,0.7184,False,1,0,3,OK,neuromorpho
neuromorpho__IF3_261199.swc,pyramidal,pyramidal,0.5021,False,interneuron,0.7031,False,1,0,3,OK,neuromorpho
neuromorpho__KW20180701_Pair2_post.swc,pyramidal,pyramidal,0.6556,False,interneuron,0.6803,False,1,0,3,OK,neuromorpho
neuromorpho__KW20180702_Pair3_pre.swc,pyramidal,pyramidal,0.8186,False,interneuron,0.7313,False,1,0,3,OK,neuromorpho
neuromorpho__L3R1_04_-030.swc,interneuron,interneuron,0.8389,False,pyramidal,0.7474,False,1,0,3,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-KO_IN08.swc,interneuron,interneuron,0.8064,False,pyramidal,0.655,False,1,0,3,OK,neuromorpho
neuromorpho__Zs210114-0101_ventral_onlydendrites.swc,interneuron,interneuron,0.5787,False,pyramidal,0.6902,False,1,0,3,OK,neuromorpho
neuromorpho__a151124-1_VIP_IN_only_dendrite.swc,interneuron,interneuron,0.8343,False,pyramidal,0.6984,False,1,0,3,OK,neuromorpho
neuromorpho__a151124-3_VIP_IN_only_dendrite.swc,interneuron,interneuron,0.5566,False,pyramidal,0.8223,False,1,0,3,OK,neuromorpho
neuromorpho__crop0_2_seg_split_38_1-05.swc,pyramidal,pyramidal,0.772,False,interneuron,0.8002,False,1,0,3,OK,neuromorpho
neuromorpho__ms87_slice3.swc,pyramidal,pyramidal,0.7503,False,interneuron,0.6572,False,1,0,3,OK,neuromorpho
neuromorpho__p120105-01-AAC.swc,interneuron,interneuron,0.8021,False,pyramidal,0.6617,False,1,0,3,OK,neuromorpho
neuromorpho__sec-4.swc,interneuron,interneuron,0.7835,False,pyramidal,0.8061,False,1,0,3,OK,neuromorpho
allen__Htr3a-Cre_NO152_Ai14-286731.04.02.01_561553133.swc,interneuron,interneuron,0.7145,True,pyramidal,0.6373,True,1,1,2,OK,allen
neuromorpho__05a_pyramidal10aACC.swc,pyramidal,interneuron,0.6349,True,pyramidal,0.6535,False,1,1,2,OK,neuromorpho
neuromorpho__060315A_ECA.swc,pyramidal,interneuron,0.5752,True,pyramidal,0.5716,True,1,1,2,OK,neuromorpho
neuromorpho__072903a.swc,interneuron,interneuron,0.8992,False,pyramidal,0.6397,True,1,1,2,OK,neuromorpho
neuromorpho__092303a.swc,interneuron,pyramidal,0.6058,True,interneuron,0.6321,False,1,1,2,OK,neuromorpho
neuromorpho__1086-4-Sec2-LTL3.swc,pyramidal,pyramidal,0.6381,False,interneuron,0.6464,True,1,1,2,OK,neuromorpho
neuromorpho__10n12c1.swc,pyramidal,interneuron,0.5809,True,pyramidal,0.5998,False,1,1,2,OK,neuromorpho
neuromorpho__10o27c2.swc,pyramidal,interneuron,0.5681,True,pyramidal,0.6489,False,1,1,2,OK,neuromorpho
neuromorpho__10o27c7.swc,pyramidal,pyramidal,0.8415,False,interneuron,0.5098,True,1,1,2,OK,neuromorpho
neuromorpho__11C2neuron3.swc,pyramidal,pyramidal,0.6181,False,interneuron,0.508,True,1,1,2,OK,neuromorpho
neuromorpho__11b.swc,pyramidal,pyramidal,0.8475,False,interneuron,0.5155,True,1,1,2,OK,neuromorpho
neuromorpho__12B3neuron1Layers.swc,pyramidal,interneuron,0.5105,True,pyramidal,0.5374,False,1,1,2,OK,neuromorpho
neuromorpho__12C2neuron1Layers.swc,pyramidal,interneuron,0.6357,True,pyramidal,0.5132,False,1,1,2,OK,neuromorpho
neuromorpho__12D2neuron3.swc,pyramidal,pyramidal,0.7375,False,interneuron,0.5613,True,1,1,2,OK,neuromorpho
neuromorpho__20180607-60L5-1-1-445-02-352-93-48.swc,interneuron,interneuron,0.8776,False,pyramidal,0.5901,True,1,1,2,OK,neuromorpho
neuromorpho__20180711_sample_1.swc,interneuron,pyramidal,0.6047,True,interneuron,0.6765,False,1,1,2,OK,neuromorpho
neuromorpho__20190117_sample_1.swc,interneuron,interneuron,0.8618,False,pyramidal,0.6169,True,1,1,2,OK,neuromorpho
neuromorpho__20190429_sample_4.swc,interneuron,interneuron,0.8021,False,pyramidal,0.5255,True,1,1,2,OK,neuromorpho
neuromorpho__20190614_sample_2.swc,interneuron,interneuron,0.9504,False,pyramidal,0.5757,True,1,1,2,OK,neuromorpho
neuromorpho__20200114_C_63X_zstack_tile_stitch.swc,interneuron,interneuron,0.9023,False,pyramidal,0.6347,True,1,1,2,OK,neuromorpho
neuromorpho__22--OTC-300-pM-CRF-9-weeks-20x.swc,pyramidal,interneuron,0.609,True,pyramidal,0.738,False,1,1,2,OK,neuromorpho
neuromorpho__3-Som-3d-trace.swc,interneuron,pyramidal,0.5363,True,interneuron,0.7528,False,1,1,2,OK,neuromorpho
neuromorpho__389-01-01.swc,pyramidal,interneuron,0.5745,True,pyramidal,0.5368,False,1,1,2,OK,neuromorpho
neuromorpho__60L4_03_-165.swc,interneuron,pyramidal,0.5754,True,interneuron,0.7965,False,1,1,2,OK,neuromorpho
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt18a.swc,interneuron,pyramidal,0.5253,True,interneuron,0.8975,False,1,1,2,OK,neuromorpho
neuromorpho__7-Som-3d-trace.swc,interneuron,interneuron,0.8529,False,pyramidal,0.5632,True,1,1,2,OK,neuromorpho
neuromorpho__70R3_06_-150.swc,interneuron,pyramidal,0.6363,True,interneuron,0.7933,False,1,1,2,OK,neuromorpho
neuromorpho__70R3_07_-255.swc,interneuron,pyramidal,0.6236,True,interneuron,0.8234,True,1,1,2,OK,neuromorpho
neuromorpho__8--OTC-100-pM-NPY-9-weeks.swc,pyramidal,pyramidal,0.8543,False,interneuron,0.5598,True,1,1,2,OK,neuromorpho
neuromorpho__8N22DAT8-50717GFPwta-wt15a.swc,interneuron,pyramidal,0.6237,True,interneuron,0.6108,False,1,1,2,OK,neuromorpho
neuromorpho__8N22DAT8-50717GFPwta-wt6a.swc,interneuron,interneuron,0.9472,False,pyramidal,0.5507,True,1,1,2,OK,neuromorpho
neuromorpho__8N22DAT8-50717GFPwta-wt9a.swc,interneuron,interneuron,0.6013,True,pyramidal,0.5387,True,1,1,2,OK,neuromorpho
neuromorpho__BMCell3_20m.swc,interneuron,interneuron,0.8661,False,pyramidal,0.5001,True,1,1,2,OK,neuromorpho
neuromorpho__C2_3.swc,pyramidal,pyramidal,0.6029,False,interneuron,0.5774,True,1,1,2,OK,neuromorpho
neuromorpho__Cell-7.swc,interneuron,interneuron,0.7445,False,pyramidal,0.5756,True,1,1,2,OK,neuromorpho
neuromorpho__Cell4_Hippocampus_singlecell.swc,interneuron,pyramidal,0.5587,True,interneuron,0.8985,False,1,1,2,OK,neuromorpho
neuromorpho__Green_19weeks_Neuron6.swc,pyramidal,interneuron,0.6214,True,pyramidal,0.7671,False,1,1,2,OK,neuromorpho
neuromorpho__Green_8weeks_Neuron9.swc,pyramidal,pyramidal,0.9234,True,interneuron,0.5253,True,1,1,2,OK,neuromorpho
neuromorpho__I03485.swc,pyramidal,interneuron,0.6194,True,pyramidal,0.647,False,1,1,2,OK,neuromorpho
neuromorpho__I101119PYR.swc,pyramidal,pyramidal,0.6529,False,interneuron,0.5117,True,1,1,2,OK,neuromorpho
neuromorpho__KO2-neuron10.swc,pyramidal,interneuron,0.5477,True,pyramidal,0.893,False,1,1,2,OK,neuromorpho
neuromorpho__Mouse_CA2_B_Cell.swc,pyramidal,interneuron,0.613,True,pyramidal,0.7298,False,1,1,2,OK,neuromorpho
neuromorpho__NAS5.swc,interneuron,pyramidal,0.6329,True,interneuron,0.6147,False,1,1,2,OK,neuromorpho
neuromorpho__Nov-9-IR-1-4d-40x-low-res.swc,pyramidal,interneuron,0.541,True,pyramidal,0.8235,False,1,1,2,OK,neuromorpho
neuromorpho__P120115-03-AAC.swc,interneuron,interneuron,0.7017,False,pyramidal,0.6434,True,1,1,2,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN32.swc,interneuron,interneuron,0.883,False,pyramidal,0.5394,True,1,1,2,OK,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN33.swc,interneuron,pyramidal,0.617,True,interneuron,0.7099,False,1,1,2,OK,neuromorpho
neuromorpho__Red_8weeks_Neuron1addl.swc,pyramidal,pyramidal,0.8102,False,interneuron,0.5978,True,1,1,2,OK,neuromorpho
neuromorpho__SST2A-GFP-SST-VGLUT2-cell-15.swc,interneuron,interneuron,0.891,False,pyramidal,0.643,True,1,1,2,OK,neuromorpho
neuromorpho__SstCre_cell7.swc,pyramidal,interneuron,0.5002,True,pyramidal,0.7521,False,1,1,2,OK,neuromorpho
neuromorpho__WT343PFCL320XNeuron9.swc,pyramidal,interneuron,0.638,True,pyramidal,0.8196,False,1,1,2,OK,neuromorpho
neuromorpho__Zs201222-01_medial_20x_onlydendrites.swc,interneuron,interneuron,0.7015,False,pyramidal,0.5556,True,1,1,2,OK,neuromorpho
neuromorpho__Zs210113-0302_ventral_onlydendrites.swc,interneuron,pyramidal,0.5154,True,interneuron,0.6533,False,1,1,2,OK,neuromorpho
neuromorpho__august5s1-cell-1.swc,pyramidal,interneuron,0.6258,True,pyramidal,0.7207,False,1,1,2,OK,neuromorpho
neuromorpho__crop0_1_seg_split_2_1-55.swc,pyramidal,pyramidal,0.8843,False,interneuron,0.5092,True,1,1,2,OK,neuromorpho
neuromorpho__crop0_1_seg_split_9_1-1.swc,pyramidal,interneuron,0.6436,True,pyramidal,0.764,False,1,1,2,OK,neuromorpho
neuromorpho__group1_cell17.swc,pyramidal,interneuron,0.5858,True,pyramidal,0.5438,False,1,1,2,OK,neuromorpho
neuromorpho__m3s4s4b-med-deep.swc,pyramidal,pyramidal,0.9126,False,interneuron,0.5186,True,1,1,2,OK,neuromorpho
neuromorpho__p73_vGluT2-ctrl_IN15.swc,interneuron,interneuron,0.8895,False,pyramidal,0.5335,True,1,1,2,OK,neuromorpho
allen__H16.03.003.01.18.01_525133308.swc,pyramidal,pyramidal,0.5696,False,interneuron,0.5729,False,1,0,1,OK,allen
allen__H16.03.005.01.09.01_526785799.swc,pyramidal,pyramidal,0.5562,False,interneuron,0.5862,False,1,0,1,OK,allen
allen__H17.06.007.11.05.05_576132767.swc,pyramidal,interneuron,0.6047,False,pyramidal,0.6181,False,1,0,1,OK,allen
hpf_ca1__202234_064_edited.swc,pyramidal,interneuron,0.5357,False,pyramidal,0.9055,False,1,0,1,OK,hpf_ca1
neuromorpho__10304c1.swc,pyramidal,pyramidal,0.6803,False,interneuron,0.5666,False,1,0,1,OK,neuromorpho
neuromorpho__10512c2.swc,pyramidal,pyramidal,0.6447,False,interneuron,0.6082,False,1,0,1,OK,neuromorpho
neuromorpho__10512c4.swc,pyramidal,pyramidal,0.7378,False,interneuron,0.5607,False,1,0,1,OK,neuromorpho
neuromorpho__11_17_17_1_5.swc,pyramidal,pyramidal,0.547,False,interneuron,0.528,False,1,0,1,OK,neuromorpho
neuromorpho__12C1neuron3.swc,pyramidal,pyramidal,0.5606,False,interneuron,0.5453,False,1,0,1,OK,neuromorpho
neuromorpho__12D2neuron2.swc,pyramidal,pyramidal,0.8471,False,interneuron,0.5207,False,1,0,1,OK,neuromorpho
neuromorpho__12D4neuron1Layers.swc,pyramidal,pyramidal,0.6801,False,interneuron,0.5655,False,1,0,1,OK,neuromorpho
neuromorpho__12D4neuron2.swc,pyramidal,pyramidal,0.768,False,interneuron,0.5276,False,1,0,1,OK,neuromorpho
neuromorpho__13--P14-Acute-20x.swc,pyramidal,pyramidal,0.6618,False,interneuron,0.609,False,1,0,1,OK,neuromorpho
neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-5.swc,pyramidal,pyramidal,0.8267,False,interneuron,0.5615,False,1,0,1,OK,neuromorpho
neuromorpho__20171012A01.swc,pyramidal,interneuron,0.5989,False,pyramidal,0.6341,True,1,0,1,OK,neuromorpho
neuromorpho__20180109C01.swc,pyramidal,pyramidal,0.719,False,interneuron,0.5905,False,1,0,1,OK,neuromorpho
neuromorpho__20190326_sample_2.swc,interneuron,interneuron,0.7823,False,pyramidal,0.6295,False,1,0,1,OK,neuromorpho
neuromorpho__241-1-34LU.swc,pyramidal,pyramidal,0.8387,False,interneuron,0.5214,False,1,0,1,OK,neuromorpho
neuromorpho__241-1-37VN.swc,interneuron,interneuron,0.8556,False,pyramidal,0.5121,False,1,0,1,OK,neuromorpho
neuromorpho__26--OTC-300-pM-CRF-9-weeks-20x.swc,pyramidal,pyramidal,0.7425,False,interneuron,0.5966,False,1,0,1,OK,neuromorpho
neuromorpho__3--OTC-1-nM-NPY-9-weeks.swc,pyramidal,pyramidal,0.5864,False,interneuron,0.5145,False,1,0,1,OK,neuromorpho
neuromorpho__389-02-04.swc,pyramidal,interneuron,0.5001,False,pyramidal,0.53,False,1,0,1,OK,neuromorpho
neuromorpho__4c_1.swc,pyramidal,pyramidal,0.5435,False,interneuron,0.5983,False,1,0,1,OK,neuromorpho
neuromorpho__517s1c1.swc,pyramidal,pyramidal,0.5241,True,interneuron,0.5799,False,1,0,1,OK,neuromorpho
neuromorpho__520s1c1.swc,pyramidal,pyramidal,0.6659,False,interneuron,0.5557,False,1,0,1,OK,neuromorpho
neuromorpho__520s1c3.swc,pyramidal,pyramidal,0.6304,False,interneuron,0.6497,False,1,0,1,OK,neuromorpho
neuromorpho__521s1c2.swc,pyramidal,pyramidal,0.6949,False,interneuron,0.6421,False,1,0,1,OK,neuromorpho
neuromorpho__521s1c3.swc,pyramidal,pyramidal,0.6593,False,interneuron,0.5187,False,1,0,1,OK,neuromorpho
neuromorpho__560-4-R1.swc,pyramidal,interneuron,0.5921,False,pyramidal,0.6238,False,1,0,1,OK,neuromorpho
neuromorpho__5d.swc,pyramidal,interneuron,0.6296,False,pyramidal,0.5931,False,1,0,1,OK,neuromorpho
neuromorpho__621s2c5.swc,pyramidal,pyramidal,0.6837,False,interneuron,0.5031,False,1,0,1,OK,neuromorpho
neuromorpho__6b_1.swc,pyramidal,pyramidal,0.7318,False,interneuron,0.5885,False,1,0,1,OK,neuromorpho
neuromorpho__8N22DAT8-50717GFPwta-wt5a.swc,interneuron,interneuron,0.5711,True,pyramidal,0.5041,False,1,0,1,OK,neuromorpho
neuromorpho__904s5c5.swc,pyramidal,pyramidal,0.5447,False,interneuron,0.5834,False,1,0,1,OK,neuromorpho
neuromorpho__9a_1.swc,pyramidal,interneuron,0.5007,False,pyramidal,0.5115,False,1,0,1,OK,neuromorpho
neuromorpho__A4_slide3_6.swc,pyramidal,pyramidal,0.6166,False,interneuron,0.5277,False,1,0,1,OK,neuromorpho
neuromorpho__Cell-18.swc,interneuron,interneuron,0.7454,False,pyramidal,0.5769,False,1,0,1,OK,neuromorpho
neuromorpho__Cell-20.swc,interneuron,interneuron,0.5985,False,pyramidal,0.6112,False,1,0,1,OK,neuromorpho
neuromorpho__Cell-22.swc,interneuron,interneuron,0.5418,True,pyramidal,0.6485,False,1,0,1,OK,neuromorpho
neuromorpho__KW20180702_Pair3_post.swc,pyramidal,pyramidal,0.771,False,interneuron,0.5153,False,1,0,1,OK,neuromorpho
neuromorpho__N075.swc,pyramidal,interneuron,0.5632,False,pyramidal,0.7848,False,1,0,1,OK,neuromorpho
neuromorpho__PVCre_cell2.swc,pyramidal,pyramidal,0.5421,False,interneuron,0.5755,False,1,0,1,OK,neuromorpho
neuromorpho__T84_NeuronA_40X_Tile_Trace_MK.swc,pyramidal,interneuron,0.6028,False,pyramidal,0.6633,False,1,0,1,OK,neuromorpho
neuromorpho__april9s1-cell-1.swc,pyramidal,pyramidal,0.5658,False,interneuron,0.5265,False,1,0,1,OK,neuromorpho
neuromorpho__august5s1-cell-3.swc,pyramidal,pyramidal,0.5714,False,interneuron,0.5478,False,1,0,1,OK,neuromorpho
neuromorpho__august5s2-cell-2.swc,pyramidal,pyramidal,0.5493,False,interneuron,0.5342,False,1,0,1,OK,neuromorpho
neuromorpho__august8s1-cell-2.swc,pyramidal,interneuron,0.6062,False,pyramidal,0.7623,False,1,0,1,OK,neuromorpho
neuromorpho__crop0_2_seg_split_31_2-75.swc,pyramidal,pyramidal,0.8723,False,interneuron,0.5104,False,1,0,1,OK,neuromorpho
neuromorpho__d1s1-cell-1.swc,pyramidal,pyramidal,0.6352,False,interneuron,0.5032,False,1,0,1,OK,neuromorpho
neuromorpho__d3s2-cell-4.swc,pyramidal,interneuron,0.5338,False,pyramidal,0.5171,False,1,0,1,OK,neuromorpho
neuromorpho__dysk-5.swc,interneuron,interneuron,0.6368,False,pyramidal,0.5117,False,1,0,1,OK,neuromorpho
neuromorpho__m3s4s5t-d-sup.swc,pyramidal,interneuron,0.6054,False,pyramidal,0.5932,False,1,0,1,OK,neuromorpho
neuromorpho__ms89_slice1_px.swc,pyramidal,pyramidal,0.7701,False,interneuron,0.5084,False,1,0,1,OK,neuromorpho
neuromorpho__ms92_slice1_cell2.swc,pyramidal,pyramidal,0.7206,False,interneuron,0.5158,False,1,0,1,OK,neuromorpho
