file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
neuromorpho__m3s4s4b-med-deep.swc,pyramidal,234,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9126,True,1,0.00,8.65,8.65,34.61,0.000,0.829,0.167,0,39,194,0.45,neuromorpho
neuromorpho__060a000002.swc,interneuron,1505,branch3,1.0000,1.0000,,1.0000,,interneuron,0.9825,True,1,0.00,,,0.00,0.000,0.000,0.999,0,1504,0,0.34,neuromorpho
neuromorpho__Green_4weeks_Neuron11.swc,pyramidal,51,branch3,0.9583,0.9216,,0.9583,,pyramidal,0.9693,True,1,0.00,,,0.00,0.000,0.000,0.980,4,46,0,0.29,neuromorpho
neuromorpho__WT3-neuron8.swc,pyramidal,164,branch3,0.1510,0.1829,0.0000,0.3021,,interneuron,0.6525,False,1,0.00,,,0.00,0.817,0.000,0.177,0,163,0,0.16,neuromorpho
neuromorpho__B913_NeuronC_40x_Tile_Trace_MK.swc,pyramidal,1414,branch3,0.5000,0.1860,,1.0000,0.0000,pyramidal,0.9980,True,1,0.00,0.00,0.00,0.00,0.000,0.814,0.185,1151,262,0,0.60,neuromorpho
neuromorpho__389-01-01.swc,pyramidal,779,branch3,0.1652,0.1990,0.0000,0.3305,,interneuron,0.5745,False,1,0.00,,,0.00,0.801,0.000,0.198,0,778,0,0.19,neuromorpho
neuromorpho__10331c1.swc,pyramidal,1597,branch3,0.1752,0.3569,0.0000,0.5256,0.0000,interneuron,0.3705,False,1,0.00,63.13,63.13,145.53,0.020,0.623,0.356,0,1596,0,0.23,neuromorpho
neuromorpho__236-1-12LS.swc,pyramidal,785,branch3,0.4029,0.6752,0.0000,0.8058,,pyramidal,0.9899,True,1,0.00,,,0.00,0.020,0.000,0.978,10,545,229,0.55,neuromorpho
neuromorpho__3PO1_1.swc,pyramidal,1008,branch3,0.6310,0.9058,0.0000,0.8929,1.0000,pyramidal,0.9935,True,1,0.00,0.00,0.00,0.00,0.035,0.512,0.452,60,431,516,0.39,neuromorpho
neuromorpho__20171012A01.swc,pyramidal,2090,branch3,0.1935,0.4091,0.0000,0.5804,0.0000,interneuron,0.5989,False,1,0.00,-19.26,-19.26,77.69,0.013,0.578,0.409,0,2089,0,0.28,neuromorpho
neuromorpho__10n12c1.swc,pyramidal,1878,branch3,0.1962,0.4175,0.0000,0.5887,0.0000,interneuron,0.5809,False,1,0.00,38.57,38.57,100.99,0.006,0.577,0.417,0,1877,0,0.25,neuromorpho
neuromorpho__AAS3.swc,interneuron,6098,branch3,0.1978,0.1099,,0.1978,,interneuron,0.9909,True,1,0.00,,,0.00,0.000,0.000,1.000,5428,669,0,0.58,neuromorpho
neuromorpho__236-3-64LS.swc,pyramidal,520,branch3,0.2028,0.2558,,0.4055,0.0000,pyramidal,0.9807,True,1,0.00,30.87,30.87,131.32,0.000,0.465,0.533,0,374,145,0.47,neuromorpho
neuromorpho__SstCre_cell7.swc,pyramidal,1315,branch3,0.2046,0.4433,0.0000,0.6139,0.0000,interneuron,0.5002,False,1,0.00,23.45,23.45,84.15,0.298,0.259,0.443,0,1314,0,0.22,neuromorpho
neuromorpho__KO1-4-3-9.swc,pyramidal,247,branch3,0.6055,0.8016,0.0000,0.8165,1.0000,pyramidal,0.7107,True,1,0.00,-1.65,-1.65,39.00,0.198,0.356,0.441,0,158,88,0.48,neuromorpho
neuromorpho__X046_S1_Z2_C05.swc,pyramidal,660,branch3,0.1934,0.2409,,0.3868,0.0000,pyramidal,0.9881,True,1,1.31,0.19,-1.11,28.67,0.000,0.298,0.700,0,355,304,0.58,neuromorpho
neuromorpho__1071-1-Sec5-LTL1.swc,pyramidal,2185,branch3,0.3894,0.6380,,0.7789,0.0000,pyramidal,0.9151,True,1,0.00,21.93,21.93,64.80,0.000,0.362,0.638,0,2184,0,0.69,neuromorpho
neuromorpho__236-2-36LS.swc,pyramidal,436,branch3,0.2232,0.2890,,0.4464,0.0000,pyramidal,0.9872,True,1,0.00,9.46,9.46,112.86,0.000,0.300,0.697,0,256,179,0.48,neuromorpho
neuromorpho__10o27c3.swc,pyramidal,1315,branch3,0.2114,0.4646,0.0000,0.6341,0.0000,interneuron,0.3835,False,1,0.00,5.66,5.66,33.00,0.016,0.519,0.464,0,1314,0,0.24,neuromorpho
neuromorpho__389-02-02A.swc,pyramidal,581,branch3,0.2123,0.4682,0.0000,0.6369,0.0000,interneuron,0.3869,False,1,0.00,-0.58,-0.58,42.00,0.012,0.520,0.466,0,580,0,0.19,neuromorpho
neuromorpho__C4_3.swc,pyramidal,1226,branch3,0.1809,0.1819,0.0000,0.5428,0.0000,pyramidal,0.9955,True,1,0.00,0.00,0.00,0.00,0.513,0.259,0.228,57,539,629,0.46,neuromorpho
neuromorpho__KOA-2-13-7.swc,pyramidal,298,branch3,0.6374,0.9094,0.0000,0.9121,1.0000,pyramidal,0.9874,True,1,0.00,11.92,11.92,59.00,0.030,0.436,0.530,18,149,130,0.51,neuromorpho
neuromorpho__Delayed3_4197_neurobiotin_TH.swc,interneuron,14987,branch3,0.9997,0.9999,0.9996,0.9999,,interneuron,0.9289,True,1,0.00,,,0.00,0.153,0.000,0.847,2297,12689,0,0.56,neuromorpho
neuromorpho__B110430PYR.swc,pyramidal,3230,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.7198,True,1,0.00,24.42,24.42,63.60,0.008,0.508,0.484,25,1562,1642,0.72,neuromorpho
neuromorpho__242-2-34LU.swc,pyramidal,400,branch3,0.7004,0.7075,,0.6569,0.7440,pyramidal,0.9968,True,1,-0.00,19.70,19.71,141.36,0.000,0.718,0.280,0,229,170,0.54,neuromorpho
neuromorpho__Green_2weeks_Neuron10add'l.swc,pyramidal,25,branch3,0.2222,0.1600,,0.2222,,pyramidal,0.9431,True,1,0.00,,,0.00,0.000,0.000,0.960,21,3,0,0.29,neuromorpho
neuromorpho__241-3-43LU.swc,pyramidal,701,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9955,True,1,0.00,-5.60,-5.60,120.85,0.004,0.191,0.803,3,563,134,0.61,neuromorpho
neuromorpho__243-3-42VN.swc,pyramidal,643,branch3,0.1535,0.3002,0.0000,0.4604,0.0000,pyramidal,0.9950,True,1,0.00,23.42,23.42,121.59,0.011,0.235,0.753,191,350,101,0.57,neuromorpho
neuromorpho__241-2-88LU.swc,pyramidal,323,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9957,True,1,0.00,6.15,6.15,112.92,0.019,0.115,0.864,6,279,37,0.43,neuromorpho
neuromorpho__236-3-32LS.swc,pyramidal,1626,branch3,0.2080,0.4539,0.0000,0.6240,0.0000,pyramidal,0.9701,True,1,0.00,-34.45,-34.45,142.20,0.006,0.229,0.765,507,1118,0,0.69,neuromorpho
hpf_ca1__202224_002_edited.swc,pyramidal,3065,branch3,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.8976,True,1,9765.29,,,0.00,0.284,0.000,0.716,869,2195,0,0.61,hpf_ca1
neuromorpho__3PO2_2.swc,pyramidal,417,branch3,0.4421,0.3070,1.0000,0.3263,0.0000,pyramidal,0.9938,True,1,0.00,0.00,0.00,0.00,0.137,0.693,0.168,57,359,0,0.34,neuromorpho
neuromorpho__C3_3.swc,pyramidal,663,branch3,0.2411,0.5671,0.0000,0.7232,0.0000,pyramidal,0.9955,True,1,0.00,0.00,0.00,0.00,0.084,0.348,0.566,0,662,0,0.35,neuromorpho
neuromorpho__WT3-neuron3.swc,pyramidal,150,branch3,0.2440,0.5800,0.0000,0.7319,0.0000,interneuron,0.3885,False,1,0.00,-7.28,-7.28,13.90,0.327,0.093,0.573,0,149,0,0.16,neuromorpho
neuromorpho__559-1-R1.swc,pyramidal,1420,branch3,0.6440,0.8810,1.0000,0.9320,0.0000,pyramidal,0.9077,True,1,0.00,15.98,15.98,88.71,0.065,0.119,0.815,92,1327,0,0.59,neuromorpho
neuromorpho__11_06_13_-2_Cell_-4.swc,pyramidal,32289,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9279,True,1,0.00,-50.21,-50.21,318.58,0.224,0.449,0.327,7233,10572,14483,1.96,neuromorpho
neuromorpho__243-3-19VN.swc,pyramidal,483,branch3,0.2444,0.5797,0.0000,0.7332,0.0000,pyramidal,0.9930,True,1,0.00,5.92,5.92,53.68,0.014,0.050,0.934,103,310,69,0.58,neuromorpho
neuromorpho__05a_pyramidal10aACC.swc,pyramidal,716,branch3,0.2505,0.3352,,0.5010,0.0000,interneuron,0.6349,False,1,0.00,7.60,7.60,44.31,0.000,0.665,0.334,0,715,0,0.22,neuromorpho
neuromorpho__retina6_petal1_n1.swc,interneuron,6091,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9912,True,1,0.00,,,0.00,0.229,0.000,0.771,1396,4694,0,0.58,neuromorpho
neuromorpho__20180207A01.swc,pyramidal,1997,branch3,0.2533,0.3395,,0.5065,0.0000,interneuron,0.7794,False,1,0.00,-8.77,-8.77,35.45,0.000,0.578,0.421,164,1832,0,0.20,neuromorpho
neuromorpho__iPRCp_05.swc,pyramidal,10230,branch3,0.2562,0.3446,,0.5125,0.0000,pyramidal,0.9634,True,1,0.00,2.28,2.28,148.69,0.000,0.281,0.719,0,6396,3833,1.37,neuromorpho
neuromorpho__mPFC_w1_L3_01.swc,pyramidal,2540,branch3,0.2570,0.3201,0.0000,0.7711,0.0000,pyramidal,0.9802,True,1,0.00,5.01,5.01,75.00,0.490,0.190,0.320,0,1294,1245,0.70,neuromorpho
neuromorpho__11713c2.swc,pyramidal,1478,branch3,0.5000,0.3532,0.0000,1.0000,,pyramidal,0.8809,True,1,0.00,,,0.00,0.647,0.000,0.353,0,521,956,0.63,neuromorpho
neuromorpho__KO1-4-1-3.swc,pyramidal,421,branch3,0.3014,0.6627,0.0000,0.9041,0.0000,pyramidal,0.6814,True,1,0.00,-0.29,-0.29,3.50,0.140,0.197,0.660,83,337,0,0.55,neuromorpho
neuromorpho__X043_S4_Z5_C02.swc,pyramidal,460,branch3,0.1976,0.2478,,0.3951,0.0000,pyramidal,0.8994,True,1,0.17,-2.59,-2.75,39.73,0.000,0.320,0.678,0,260,199,0.40,neuromorpho
neuromorpho__171108-5.swc,interneuron,2106,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9890,True,1,0.00,,,0.00,0.391,0.000,0.608,824,1281,0,0.39,neuromorpho
neuromorpho__822.swc,interneuron,960,branch3,0.2674,0.3656,0.0000,0.5348,,interneuron,0.9963,True,1,-0.31,,,0.00,0.634,0.000,0.365,0,959,0,0.34,neuromorpho
neuromorpho__C2_5.swc,pyramidal,2417,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9705,True,1,0.00,0.00,0.00,0.00,0.046,0.858,0.096,111,231,2074,0.49,neuromorpho
neuromorpho__X043_S5_Z2_C05_20x.swc,pyramidal,942,branch3,0.2688,0.3684,,0.5377,0.0000,pyramidal,0.9874,True,1,-0.57,-5.40,-4.83,43.45,0.000,0.206,0.793,0,540,401,0.53,neuromorpho
neuromorpho__Cell42.swc,interneuron,10414,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9859,True,1,0.00,,,0.00,0.375,0.000,0.625,3904,6509,0,1.39,neuromorpho
neuromorpho__241-2-2VN.swc,pyramidal,392,branch3,0.6597,0.9694,0.0000,0.9792,1.0000,pyramidal,0.9942,True,1,0.00,-29.18,-29.18,152.47,0.010,0.245,0.742,8,287,96,0.52,neuromorpho
neuromorpho__Anstoetz_Toolbox-IN15.swc,interneuron,1638,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9378,True,1,-0.00,,,0.00,0.614,0.000,0.385,1006,631,0,0.36,neuromorpho
neuromorpho__802s1c1.swc,pyramidal,2480,branch3,0.2795,0.7222,0.0000,0.8386,0.0000,interneuron,0.3975,False,1,0.00,-3.67,-3.67,39.37,0.027,0.250,0.722,0,2479,0,0.28,neuromorpho
neuromorpho__AAS15.swc,interneuron,1164,branch3,1.0000,1.0000,,1.0000,,interneuron,0.5855,True,1,0.00,,,0.00,0.000,0.000,0.999,0,1163,0,0.23,neuromorpho
neuromorpho__241-3-33LU.swc,pyramidal,665,branch3,0.6160,0.7835,0.0000,0.8481,1.0000,pyramidal,0.9796,True,1,0.00,-15.16,-15.16,125.42,0.008,0.177,0.814,139,407,118,0.49,neuromorpho
neuromorpho__2-ENU2-veichle-neuron1_2.swc,pyramidal,198,branch3,0.2836,0.3990,,0.5673,0.0000,interneuron,0.6776,False,1,0.00,-2.62,-2.62,21.35,0.000,0.601,0.394,0,197,0,0.19,neuromorpho
neuromorpho__I5-19.swc,pyramidal,284,branch3,0.6425,0.8838,1.0000,0.9275,0.0000,pyramidal,0.9371,True,1,0.00,-4.70,-4.70,13.06,0.137,0.116,0.743,39,244,0,0.44,neuromorpho
neuromorpho__241-3-42LU.swc,pyramidal,396,branch3,0.7955,0.4268,1.0000,0.5910,,pyramidal,0.9976,True,1,0.00,,,0.00,0.010,0.000,0.987,4,164,227,0.37,neuromorpho
neuromorpho__242-1-16VN.swc,pyramidal,421,branch3,0.2862,0.7530,0.0000,0.8587,0.0000,pyramidal,0.9965,True,1,0.00,0.28,0.28,118.53,0.012,0.211,0.774,10,410,0,0.47,neuromorpho
neuromorpho__560-3-R1.swc,pyramidal,1348,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9437,True,1,0.00,32.42,32.42,88.56,0.000,0.598,0.401,0,541,806,0.67,neuromorpho
neuromorpho__236-2a-16-AW.swc,pyramidal,545,branch3,0.8691,0.5927,1.0000,0.7382,,pyramidal,0.9923,True,1,0.00,,,0.00,0.017,0.000,0.982,9,313,222,0.58,neuromorpho
neuromorpho__Cell22.swc,interneuron,10276,branch3,0.2932,0.4149,0.0000,0.5865,,interneuron,0.9977,True,1,0.00,,,0.00,0.585,0.000,0.415,0,10275,0,1.03,neuromorpho
neuromorpho__A627_NeuronB_40x_Tile_Trace_MK.swc,pyramidal,743,branch3,0.5000,0.4159,,1.0000,0.0000,pyramidal,0.9971,True,1,0.00,0.00,0.00,0.00,0.000,0.584,0.415,434,308,0,0.53,neuromorpho
neuromorpho__Anstoetz_O-LM_IN1.swc,interneuron,791,branch3,1.0000,1.0000,,1.0000,,interneuron,0.7746,True,1,0.00,,,0.00,0.000,0.000,0.999,0,790,0,0.27,neuromorpho
neuromorpho__B2_slide3_neuron3.swc,pyramidal,372,branch3,0.8916,0.7634,,0.7833,1.0000,pyramidal,0.9617,True,1,-13.06,-26.83,-13.77,78.51,0.000,0.333,0.664,88,159,124,0.56,neuromorpho
neuromorpho__A1_slide3_5.swc,pyramidal,576,branch3,0.3016,0.4479,0.0000,0.9049,0.0000,pyramidal,0.9704,True,1,-27.77,-51.23,-23.46,41.49,0.094,0.458,0.446,264,311,0,0.47,neuromorpho
neuromorpho__dIN-1354-nrn-ns-100902-transl-invX-scaled-straightened.swc,interneuron,122,branch3,0.7066,0.6475,0.5938,0.7329,0.0000,interneuron,0.9681,True,1,4.22,16.98,12.77,10.15,0.369,0.139,0.484,19,102,0,0.16,neuromorpho
neuromorpho__241-2-93LU.swc,pyramidal,586,branch3,0.3088,0.4454,,0.6176,0.0000,pyramidal,0.9950,True,1,0.00,0.00,0.00,0.00,0.000,0.005,0.993,3,260,322,0.51,neuromorpho
neuromorpho__m3s4s4t-vp-mid.swc,pyramidal,256,branch3,0.3089,0.4492,,0.6179,0.0000,pyramidal,0.8831,True,1,0.00,2.40,2.40,35.87,0.000,0.551,0.445,0,255,0,0.48,neuromorpho
neuromorpho__207B-2-R2.swc,pyramidal,490,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.8276,True,1,0.00,5.15,5.15,23.28,0.000,0.551,0.447,0,219,270,0.36,neuromorpho
neuromorpho__236-1-10LS.swc,pyramidal,767,branch3,0.3099,0.4498,,0.6198,0.0000,pyramidal,0.9777,True,1,0.00,15.78,15.78,74.28,0.000,0.102,0.897,0,422,344,0.48,neuromorpho
neuromorpho__Fig5a_8cell.swc,pyramidal,1930,branch3,0.3108,0.4513,,0.6217,0.0000,interneuron,0.4879,False,1,0.00,-32.11,-32.11,168.15,0.000,0.549,0.451,0,1929,0,0.24,neuromorpho
neuromorpho__retina1_petal1_n2.swc,interneuron,8845,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9844,True,1,0.00,,,0.00,0.537,0.000,0.463,4748,4096,0,0.80,neuromorpho
neuromorpho__B2_slide3_14.swc,pyramidal,411,branch3,0.3201,0.4745,0.0000,0.9604,0.0000,pyramidal,0.9880,True,1,-12.47,-18.80,-6.33,87.67,0.039,0.487,0.472,200,210,0,0.55,neuromorpho
neuromorpho__B2_slide3_8.swc,pyramidal,742,branch3,0.3223,0.5337,0.0000,0.9670,0.0000,pyramidal,0.8177,True,1,-13.12,-3.53,9.59,48.58,0.036,0.430,0.532,319,422,0,0.41,neuromorpho
neuromorpho__1128-2-Sec1-BSL2.swc,pyramidal,1880,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9525,True,1,0.00,-5.86,-5.86,69.23,0.000,0.491,0.509,0,956,923,0.57,neuromorpho
neuromorpho__KO5-Neuron6.swc,pyramidal,45,branch3,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9959,True,1,0.00,,,0.00,0.511,0.000,0.467,23,21,0,0.30,neuromorpho
neuromorpho__236-3-47LS.swc,pyramidal,449,branch3,0.3263,0.4855,0.0000,0.6526,,pyramidal,0.9966,True,1,0.00,,,0.00,0.013,0.000,0.984,19,223,206,0.48,neuromorpho
neuromorpho__72715-V1-5Slice4Cell1.swc,pyramidal,738,branch3,0.3269,0.4864,,0.6539,0.0000,pyramidal,0.9789,True,1,0.00,15.71,15.71,28.39,0.000,0.240,0.759,202,535,0,0.49,neuromorpho
neuromorpho__236-3-51LS.swc,pyramidal,300,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9900,True,1,0.00,-2.87,-2.87,105.36,0.023,0.220,0.753,7,226,66,0.45,neuromorpho
neuromorpho__B1_slide1_6.swc,pyramidal,411,branch3,0.3289,0.6350,0.0000,0.9867,0.0000,pyramidal,0.9908,True,1,-16.69,-28.01,-11.32,36.14,0.017,0.348,0.633,143,267,0,0.41,neuromorpho
hpf_ca1__210107_029_edited.swc,pyramidal,12726,branch3,0.1977,0.0650,0.0000,0.5930,0.0000,pyramidal,0.9987,True,1,8058.57,7592.57,-466.00,2534.30,0.089,0.846,0.065,10765,1960,0,1.37,hpf_ca1
neuromorpho__A586_NeuronC_40x_Tile_Trace_MK.swc,pyramidal,785,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9951,True,1,0.00,0.00,0.00,0.00,0.000,0.498,0.501,0,393,391,0.53,neuromorpho
neuromorpho__A4_slide3_19.swc,pyramidal,386,branch3,0.6769,0.6218,1.0000,0.2981,0.7326,pyramidal,0.9537,True,1,-14.80,-14.76,0.04,83.70,0.021,0.896,0.080,8,177,200,0.45,neuromorpho
neuromorpho__2017-24-02-slice-3-cell-2-rotated.swc,interneuron,7339,branch3,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9945,True,1,0.00,,,0.00,0.083,0.000,0.917,606,6732,0,0.44,neuromorpho
neuromorpho__Layer-2-3-Ethanol-8.swc,pyramidal,289,branch3,0.3753,0.6021,,0.7505,0.0000,pyramidal,0.9818,True,1,0.00,-3.83,-3.83,57.98,0.000,0.398,0.599,0,288,0,0.52,neuromorpho
neuromorpho__T84_NeuronC_Tile_Trace_MB.swc,pyramidal,391,branch3,0.5000,0.5294,,1.0000,0.0000,pyramidal,0.9949,True,1,0.00,0.04,0.04,0.43,0.000,0.471,0.527,184,206,0,0.68,neuromorpho
hpf_ca1__210013_013_edited.swc,pyramidal,53050,branch3,0.8462,0.9977,0.9988,0.5399,1.0000,pyramidal,0.9983,True,1,2409.75,2537.18,127.43,541.94,0.951,0.048,0.001,50306,192,2551,2.99,hpf_ca1
neuromorpho__2016-30-09-slice-4-cell-8-rotated.swc,interneuron,4380,branch3,0.3517,0.5427,0.0000,0.7035,,interneuron,0.9854,True,1,0.00,,,0.00,0.457,0.000,0.542,0,4379,0,0.41,neuromorpho
neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell.swc,pyramidal,2399,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.5530,True,1,-4.18,4.90,9.08,165.88,0.000,0.453,0.547,0,1312,1086,0.57,neuromorpho
neuromorpho__06b_pyramidal10aFI.swc,pyramidal,908,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.8227,True,1,0.00,71.67,71.67,155.88,0.000,0.452,0.547,0,497,410,1.36,neuromorpho
neuromorpho__august5s1-cell-1.swc,pyramidal,822,branch3,0.3541,0.5487,,0.7081,0.0000,interneuron,0.6258,False,1,0.00,10.74,10.74,25.25,0.000,0.451,0.547,0,821,0,0.21,neuromorpho
neuromorpho__236-3-8LS.swc,pyramidal,731,branch3,0.4297,0.7538,0.0000,0.8594,,pyramidal,0.9742,True,1,0.00,,,0.00,0.012,0.000,0.986,0,559,171,0.52,neuromorpho
neuromorpho__C992-whole-3.swc,pyramidal,123,branch3,0.3613,0.5691,,0.7225,0.0000,pyramidal,0.9797,True,1,0.00,-35.85,-35.85,120.00,0.000,0.431,0.561,0,122,0,0.37,neuromorpho
