file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,11792,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9136,True,1,43.96,77.06,33.10,133.82,0.514,0.266,0.220,6064,2595,3132,1.52,allen
allen__H16.06.010.01.03.04.01_529807751.swc,interneuron,42945,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9953,True,1,30.87,,,0.00,0.896,0.000,0.104,38458,4486,0,2.27,allen
allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,9458,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9875,True,1,41.92,87.69,45.77,123.76,0.007,0.481,0.512,63,4842,4552,1.28,allen
allen__H16.06.012.11.06.01_548408551.swc,pyramidal,15940,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9830,True,1,26.60,43.67,17.07,141.01,0.441,0.300,0.259,7027,4125,4787,1.77,allen
allen__H16.06.012.11.08.03_548440226.swc,pyramidal,29702,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9763,True,1,37.09,37.52,0.42,106.48,0.617,0.157,0.226,18319,6709,4673,2.58,allen
allen__H17.03.002.11.06.03_569821470.swc,pyramidal,20269,v12_gentle_seed123,0.6013,0.9266,1.0000,0.8038,0.0000,interneuron,0.8724,False,1,35.56,47.42,11.86,105.49,0.776,0.073,0.150,15732,4536,0,0.96,allen
allen__H17.03.009.11.11.06_613442532.swc,pyramidal,4357,v12_gentle_seed123,0.8237,0.7751,1.0000,0.6368,0.8345,pyramidal,0.9228,True,1,11.81,41.50,29.69,131.01,0.011,0.792,0.197,47,1839,2470,0.90,allen
allen__H17.06.005.12.12.03_571525618.swc,interneuron,8146,v12_gentle_seed123,0.9199,0.9482,0.9675,0.8724,,interneuron,0.7056,True,1,22.40,,,0.00,0.771,0.000,0.229,6703,1442,0,0.59,allen
allen__H17.06.009.11.04.03_596028822.swc,interneuron,7561,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.4403,True,1,15.81,,,0.00,0.914,0.000,0.086,6908,652,0,0.57,allen
allen__H17.06.009.11.04.04_596036453.swc,interneuron,8523,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9952,True,1,30.52,,,0.00,0.788,0.000,0.212,6716,1806,0,0.92,allen
allen__H17.06.013.12.03.01_643572206.swc,interneuron,4016,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.8531,True,1,24.08,,,0.00,0.851,0.000,0.149,3417,598,0,0.36,allen
allen__H17.06.013.12.03.02_643575207.swc,interneuron,17642,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.8605,True,1,28.84,,,0.00,0.807,0.000,0.193,14234,3407,0,0.93,allen
allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,interneuron,14318,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9947,True,1,21.89,,,0.00,0.801,0.000,0.199,11469,2848,0,1.09,allen
allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,interneuron,19022,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9954,True,1,15.96,,,0.00,0.868,0.000,0.132,16503,2518,0,1.42,allen
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,interneuron,15864,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9913,True,1,15.68,,,0.00,0.938,0.000,0.062,14882,981,0,1.10,allen
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,interneuron,12546,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9941,True,1,12.04,,,0.00,0.849,0.000,0.151,10647,1898,0,0.91,allen
allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,interneuron,20203,v12_gentle_seed123,0.9883,0.9956,0.9975,0.9791,,interneuron,0.9956,True,1,16.32,,,0.00,0.892,0.000,0.108,18118,2084,0,1.40,allen
allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,interneuron,17268,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9638,True,1,14.00,,,0.00,0.910,0.000,0.090,15710,1557,0,1.64,allen
allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,interneuron,16822,v12_gentle_seed123,0.9998,0.9999,1.0000,0.9997,,interneuron,0.9938,True,1,19.60,,,0.00,0.890,0.000,0.110,14966,1855,0,1.26,allen
allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,interneuron,8969,v12_gentle_seed123,0.9595,0.9701,0.9802,0.9387,,interneuron,0.9811,True,1,15.16,,,0.00,0.741,0.000,0.259,6915,2053,0,0.62,allen
allen__Pvalb-IRES-Cre_Ai14-305768.04.02.01_574992320.swc,interneuron,15264,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9958,True,1,27.44,,,0.00,0.849,0.000,0.151,12964,2299,0,1.28,allen
allen__Sst-IRES-Cre_Ai14-306888.04.02.01_575642695.swc,interneuron,10066,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9890,True,1,28.28,,,0.00,0.770,0.000,0.230,7748,2317,0,0.69,allen
allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,interneuron,4684,v12_gentle_seed123,0.9995,0.9996,0.9997,0.9994,,interneuron,0.9961,True,1,12.04,,,0.00,0.647,0.000,0.353,3032,1651,0,0.49,allen
allen__Vipr2-IRES2-Cre_Slc32a1-T2A-FlpO_Ai65-315067.05.01.01_585805211.swc,interneuron,11008,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9942,True,1,28.64,,,0.00,0.808,0.000,0.192,8891,2116,0,1.16,allen
hpf_ca1__201983_017_edited.swc,pyramidal,10101,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9972,True,1,8898.04,8803.30,-94.74,502.76,0.584,0.280,0.137,5895,1380,2825,1.29,hpf_ca1
hpf_ca1__201990_006_edited.swc,pyramidal,66497,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9955,True,1,9608.41,9381.83,-226.58,530.34,0.943,0.032,0.026,62695,1699,2102,3.56,hpf_ca1
hpf_ca1__201990_018_edited.swc,pyramidal,8684,v12_gentle_seed123,0.5759,0.8687,1.0000,0.7277,0.0000,pyramidal,0.9969,True,1,9903.13,9425.67,-477.46,695.84,0.693,0.131,0.175,6020,2663,0,0.96,hpf_ca1
hpf_ca1__201990_024_edited.swc,pyramidal,22256,v12_gentle_seed123,0.5301,0.9254,1.0000,0.5902,0.0000,pyramidal,0.9940,True,1,9660.46,9382.01,-278.45,529.95,0.872,0.075,0.054,19398,2857,0,1.93,hpf_ca1
hpf_ca1__201990_025_edited.swc,pyramidal,86114,v12_gentle_seed123,0.5680,0.9794,1.0000,0.7040,0.0000,pyramidal,0.9972,True,1,9440.77,9159.67,-281.10,655.71,0.955,0.021,0.024,82234,3879,0,4.67,hpf_ca1
hpf_ca1__201990_031_edited.swc,pyramidal,55514,v12_gentle_seed123,0.7393,0.9615,1.0000,0.4785,,pyramidal,0.9971,True,1,9252.15,,,0.00,0.944,0.000,0.056,52397,980,2136,3.27,hpf_ca1
hpf_ca1__201990_041_edited.swc,pyramidal,50121,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9967,True,1,9524.12,,,0.00,0.949,0.000,0.051,47556,2564,0,2.55,hpf_ca1
hpf_ca1__201990_069_edited.swc,pyramidal,27674,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9971,True,1,9297.32,,,0.00,0.933,0.000,0.067,25814,1859,0,2.59,hpf_ca1
hpf_ca1__202217_016_edited.swc,pyramidal,26143,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9798,True,1,8766.30,,,0.00,0.919,0.000,0.081,24036,2106,0,6.37,hpf_ca1
hpf_ca1__202217_018_edited.swc,pyramidal,45687,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9971,True,1,9069.12,8973.78,-95.34,292.14,0.940,0.032,0.028,42952,1288,1446,2.77,hpf_ca1
hpf_ca1__202217_021_edited.swc,pyramidal,22279,v12_gentle_seed123,0.9997,1.0000,1.0000,0.9993,0.9996,pyramidal,0.9968,True,1,9146.69,8965.35,-181.34,460.68,0.909,0.057,0.034,20248,767,1263,1.79,hpf_ca1
hpf_ca1__202217_023_edited.swc,pyramidal,16882,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9976,True,1,9098.52,8957.48,-141.04,388.90,0.804,0.128,0.068,13568,1151,2162,1.73,hpf_ca1
hpf_ca1__202219_003_edited.swc,pyramidal,16614,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9976,True,1,8963.37,8827.45,-135.92,448.72,0.850,0.096,0.054,14114,904,1595,1.58,hpf_ca1
hpf_ca1__202219_004_edited.swc,pyramidal,25888,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9961,True,1,8917.53,,,0.00,0.933,0.000,0.067,24160,1727,0,1.89,hpf_ca1
hpf_ca1__202219_006_edited.swc,pyramidal,63317,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9975,True,1,8898.90,8756.84,-142.06,561.99,0.917,0.053,0.030,58044,1911,3361,3.92,hpf_ca1
hpf_ca1__202219_007_edited.swc,pyramidal,25135,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9882,True,1,8798.94,,,0.00,0.963,0.000,0.037,24193,941,0,2.69,hpf_ca1
hpf_ca1__202219_014_edited.swc,pyramidal,5330,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9892,True,1,9007.84,,,0.00,0.896,0.000,0.103,4778,551,0,0.95,hpf_ca1
hpf_ca1__202219_029_edited.swc,pyramidal,46427,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9973,True,1,8845.88,8767.61,-78.27,425.86,0.934,0.042,0.024,43356,1120,1950,2.47,hpf_ca1
hpf_ca1__202219_032_edited.swc,pyramidal,30040,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9916,True,1,8957.41,,,0.00,0.934,0.000,0.066,28046,1993,0,3.32,hpf_ca1
hpf_ca1__202219_041_edited.swc,pyramidal,33018,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9960,True,1,8956.40,,,0.00,0.976,0.000,0.024,32212,805,0,2.08,hpf_ca1
hpf_ca1__202225_004_edited.swc,pyramidal,44311,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,9697.16,9331.89,-365.27,669.76,0.888,0.061,0.052,39328,2292,2690,2.93,hpf_ca1
hpf_ca1__202225_007_edited.swc,pyramidal,21347,v12_gentle_seed123,0.8233,0.9003,1.0000,0.6465,,pyramidal,0.8579,True,1,9290.59,,,0.00,0.809,0.000,0.191,17270,1947,2129,3.16,hpf_ca1
hpf_ca1__202225_009_edited.swc,pyramidal,28519,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9929,True,1,9296.02,,,0.00,0.939,0.000,0.061,26767,1751,0,3.04,hpf_ca1
hpf_ca1__202225_054_edited.swc,pyramidal,19882,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9957,True,1,9662.40,,,0.00,0.777,0.000,0.223,15450,4431,0,2.80,hpf_ca1
hpf_ca1__202226_006_edited.swc,pyramidal,70303,v12_gentle_seed123,0.6811,0.7405,0.8361,0.2073,1.0000,pyramidal,0.9974,True,1,9712.41,9454.59,-257.82,540.97,0.921,0.045,0.034,46539,20629,3134,3.69,hpf_ca1
hpf_ca1__202226_007_edited.swc,pyramidal,30190,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9912,True,1,9695.54,9442.07,-253.47,682.30,0.840,0.125,0.035,25365,1046,3778,2.10,hpf_ca1
hpf_ca1__202226_009_edited.swc,pyramidal,40911,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9957,True,1,9774.93,9525.60,-249.33,498.69,0.813,0.038,0.149,33275,6088,1547,2.33,hpf_ca1
hpf_ca1__202226_011_edited.swc,pyramidal,16855,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9881,True,1,9810.22,9513.60,-296.62,543.69,0.779,0.081,0.140,13137,2354,1363,1.55,hpf_ca1
hpf_ca1__202226_022_edited.swc,pyramidal,21190,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.8955,True,1,9485.56,,,0.00,0.930,0.000,0.070,19716,1473,0,1.84,hpf_ca1
hpf_ca1__202232_007_edited.swc,pyramidal,67100,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.6277,True,1,9410.83,,,0.00,0.938,0.000,0.062,62956,4143,0,5.54,hpf_ca1
hpf_ca1__202232_073_edited.swc,pyramidal,92178,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9970,True,1,9427.24,9272.58,-154.66,458.31,0.948,0.029,0.023,87383,2088,2706,4.81,hpf_ca1
hpf_ca1__202233_006_edited.swc,pyramidal,91730,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,9433.22,9256.55,-176.67,503.42,0.946,0.033,0.020,86796,1873,3060,5.10,hpf_ca1
hpf_ca1__202233_017_edited.swc,pyramidal,55771,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,9586.24,9358.57,-227.67,556.29,0.912,0.057,0.031,50880,1703,3187,3.62,hpf_ca1
hpf_ca1__202234_014_edited.swc,pyramidal,13715,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9968,True,1,9592.16,9376.09,-216.07,449.02,0.787,0.162,0.051,10792,703,2219,1.62,hpf_ca1
hpf_ca1__202234_026_edited.swc,pyramidal,105116,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9971,True,1,9806.90,9609.45,-197.45,763.61,0.963,0.026,0.011,101176,1199,2740,5.37,hpf_ca1
hpf_ca1__202234_029_edited.swc,pyramidal,15181,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9965,True,1,9689.21,9464.50,-224.71,614.41,0.850,0.097,0.053,12902,799,1479,1.66,hpf_ca1
hpf_ca1__202234_031_edited.swc,pyramidal,16311,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9729,True,1,9299.61,,,0.00,0.920,0.000,0.080,15004,1306,0,2.26,hpf_ca1
hpf_ca1__202235_014_edited.swc,pyramidal,27347,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9960,True,1,8629.59,,,0.00,0.894,0.000,0.106,24459,2887,0,1.78,hpf_ca1
hpf_ca1__202237_028_edited.swc,pyramidal,29490,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,8647.58,8432.62,-214.96,485.46,0.935,0.040,0.025,27576,731,1182,2.04,hpf_ca1
hpf_ca1__202237_041_edited.swc,pyramidal,21926,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9912,True,1,8178.30,,,0.00,0.852,0.000,0.148,18677,3248,0,2.85,hpf_ca1
hpf_ca1__202237_110_edited.swc,pyramidal,40061,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9950,True,1,8764.69,8588.44,-176.25,477.21,0.943,0.038,0.020,37767,789,1504,2.59,hpf_ca1
hpf_ca1__202237_143_edited.swc,pyramidal,46548,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9945,True,1,8781.95,8639.20,-142.75,392.75,0.935,0.044,0.021,43531,990,2026,2.94,hpf_ca1
hpf_ca1__202238_009_edited.swc,pyramidal,62989,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9975,True,1,9002.28,8849.58,-152.70,452.98,0.950,0.028,0.022,59846,1407,1735,3.60,hpf_ca1
hpf_ca1__202238_016_edited.swc,pyramidal,19790,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9972,True,1,8737.18,8614.78,-122.40,355.07,0.882,0.076,0.041,17459,820,1510,1.55,hpf_ca1
hpf_ca1__202238_020_edited.swc,pyramidal,57572,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9972,True,1,8577.80,8479.26,-98.54,259.01,0.957,0.030,0.013,55075,762,1734,3.37,hpf_ca1
hpf_ca1__202238_021_edited.swc,pyramidal,52353,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9973,True,1,8697.23,8479.94,-217.29,469.76,0.939,0.037,0.023,49167,1225,1960,3.19,hpf_ca1
hpf_ca1__202238_036_edited.swc,pyramidal,20839,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9931,True,1,8784.56,8693.18,-91.38,298.24,0.892,0.059,0.049,18588,1026,1224,1.64,hpf_ca1
hpf_ca1__202238_041_edited.swc,pyramidal,55049,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9924,True,1,9029.48,8815.29,-214.19,627.26,0.936,0.037,0.027,51533,1464,2051,2.84,hpf_ca1
hpf_ca1__202238_097_edited.swc,pyramidal,35113,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,8936.47,8790.34,-146.13,390.95,0.931,0.038,0.031,32675,1088,1349,2.33,hpf_ca1
hpf_ca1__202240_008_edited.swc,pyramidal,33251,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9906,True,1,7885.57,7833.28,-52.29,246.15,0.935,0.039,0.026,31091,868,1291,2.81,hpf_ca1
hpf_ca1__202240_017_edited.swc,pyramidal,41036,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9969,True,1,8030.12,,,0.00,0.966,0.000,0.034,39633,1402,0,4.27,hpf_ca1
hpf_ca1__202240_018_edited.swc,pyramidal,41577,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9973,True,1,8087.62,,,0.00,0.956,0.000,0.044,39730,1846,0,4.10,hpf_ca1
hpf_ca1__202240_024_edited.swc,pyramidal,17760,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9929,True,1,8153.51,,,0.00,0.910,0.000,0.090,16164,1595,0,3.10,hpf_ca1
hpf_ca1__202242_001_edited.swc,pyramidal,29971,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9967,True,1,7963.75,7913.30,-50.45,332.29,0.874,0.083,0.043,26204,1291,2475,2.23,hpf_ca1
hpf_ca1__202242_003_edited.swc,pyramidal,21027,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9976,True,1,8082.16,8068.66,-13.50,293.43,0.875,0.076,0.048,18405,1019,1602,1.98,hpf_ca1
hpf_ca1__202242_010_edited.swc,pyramidal,9044,v12_gentle_seed123,0.5000,0.1295,0.0000,1.0000,,pyramidal,0.8187,True,1,7891.14,,,0.00,0.871,0.000,0.129,0,1170,7873,1.68,hpf_ca1
hpf_ca1__202243_009_edited.swc,pyramidal,17660,v12_gentle_seed123,0.5884,0.9191,1.0000,0.0083,0.7569,pyramidal,0.9961,True,1,7936.63,7825.80,-110.83,395.89,0.793,0.126,0.081,13999,6,3654,1.73,hpf_ca1
hpf_ca1__202243_010_edited.swc,pyramidal,20445,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9971,True,1,7860.73,7839.35,-21.38,419.22,0.792,0.153,0.055,16201,1117,3126,2.01,hpf_ca1
hpf_ca1__202243_013_edited.swc,pyramidal,37867,v12_gentle_seed123,0.5241,0.9528,1.0000,0.5722,0.0000,pyramidal,0.9913,True,1,8044.81,7979.50,-65.31,274.98,0.921,0.047,0.032,34882,2984,0,2.51,hpf_ca1
hpf_ca1__202244_001_edited.swc,pyramidal,16261,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9976,True,1,8292.86,8268.02,-24.84,343.05,0.746,0.127,0.127,12134,2059,2067,1.68,hpf_ca1
hpf_ca1__202244_006_edited.swc,pyramidal,26558,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9976,True,1,8313.33,8288.71,-24.62,372.90,0.891,0.074,0.035,23663,938,1956,2.13,hpf_ca1
hpf_ca1__202244_018_edited.swc,pyramidal,2053,v12_gentle_seed123,0.5000,0.6649,1.0000,,0.0000,pyramidal,0.9367,True,1,8222.66,8247.09,24.43,95.88,0.664,0.335,0.000,1364,688,0,0.60,hpf_ca1
hpf_ca1__202244_019_edited.swc,pyramidal,2467,v12_gentle_seed123,0.5000,0.6494,1.0000,,0.0000,pyramidal,0.9630,True,1,8163.86,8177.24,13.38,130.98,0.649,0.351,0.000,1601,865,0,0.60,hpf_ca1
hpf_ca1__202246_001_edited.swc,pyramidal,32941,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9970,True,1,8122.44,8063.46,-58.98,284.33,0.673,0.067,0.261,22162,8583,2195,3.12,hpf_ca1
hpf_ca1__202246_004_edited.swc,pyramidal,15012,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9936,True,1,7995.79,,,0.00,0.848,0.000,0.152,12729,2282,0,2.78,hpf_ca1
hpf_ca1__202246_025_edited.swc,pyramidal,31673,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9969,True,1,8341.52,8303.12,-38.40,409.64,0.889,0.071,0.040,28152,1261,2259,2.35,hpf_ca1
hpf_ca1__202246_030_edited.swc,pyramidal,42435,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9974,True,1,8611.05,8505.77,-105.28,262.88,0.938,0.042,0.020,39784,867,1783,2.57,hpf_ca1
hpf_ca1__202248_010_edited.swc,pyramidal,88120,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9969,True,1,7631.82,,,0.00,0.954,0.000,0.046,84098,4021,0,7.88,hpf_ca1
hpf_ca1__202248_011_edited.swc,pyramidal,82341,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9970,True,1,7708.54,,,0.00,0.969,0.000,0.031,79759,2581,0,5.98,hpf_ca1
hpf_ca1__202248_018_edited.swc,pyramidal,14799,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9969,True,1,8551.41,8390.87,-160.54,396.07,0.742,0.122,0.136,10977,2011,1810,1.46,hpf_ca1
hpf_ca1__202248_022_edited.swc,pyramidal,13308,v12_gentle_seed123,0.9998,0.9999,1.0000,0.9996,0.9997,pyramidal,0.9967,True,1,8018.48,7946.44,-72.04,246.87,0.786,0.126,0.088,10460,1173,1674,1.48,hpf_ca1
hpf_ca1__202249_008_edited.swc,pyramidal,24715,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9965,True,1,8985.50,8865.75,-119.75,397.14,0.886,0.073,0.041,21894,1016,1804,1.92,hpf_ca1
hpf_ca1__202249_011_edited.swc,pyramidal,17644,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9975,True,1,8802.14,8712.06,-90.08,399.52,0.830,0.110,0.060,14649,1061,1933,1.79,hpf_ca1
hpf_ca1__202249_013_edited.swc,pyramidal,61684,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,pyramidal,0.9937,True,1,8499.16,,,0.00,0.965,0.000,0.035,59537,2146,0,3.28,hpf_ca1
